category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
urban,65593.47,0.4581914556389495,2008,initative20x20,14315734.0,15
water,261223.35999999996,1.8247290708251491,2008,initative20x20,14315734.0,15
wetland,92550.04000000002,0.6464917551555514,2008,initative20x20,14315734.0,15
barren,169372.38,1.1831204742977204,2009,initative20x20,14315734.0,15
cropland,581866.8300000001,4.0645266948938845,2009,initative20x20,14315734.0,15
forest,5481759.19,38.29184860517805,2009,initative20x20,14315734.0,15
grassland,2838029.08,19.824544658345847,2009,initative20x20,14315734.0,15
savanna,4326980.970000001,30.22535184015015,2009,initative20x20,14315734.0,15
shrubland,497509.12,3.475260996048125,2009,initative20x20,14315734.0,15
snow,732.29,0.005115280851125063,2009,initative20x20,14315734.0,15
urban,65726.63,0.4591216210080461,2009,initative20x20,14315734.0,15
water,261279.21999999997,1.8251192708665862,2009,initative20x20,14315734.0,15
wetland,92478.34,0.6459909076265318,2009,initative20x20,14315734.0,15
barren,168834.57,1.1793636987108032,2010,initative20x20,14315734.0,15
cropland,584542.4500000001,4.083216759964945,2010,initative20x20,14315734.0,15
forest,5459664.06,38.13750702548678,2010,initative20x20,14315734.0,15
grassland,2838624.3699999996,19.82870295019452,2010,initative20x20,14315734.0,15
savanna,4339272.58,30.311212683890325,2010,initative20x20,14315734.0,15
shrubland,503683.37,3.518390115379344,2010,initative20x20,14315734.0,15
snow,706.6,0.004935827949862717,2010,initative20x20,14315734.0,15
urban,65840.69,0.45991836674249464,2010,initative20x20,14315734.0,15
water,260981.35,1.8230385532449822,2010,initative20x20,14315734.0,15
wetland,93583.94,0.6537138787295154,2010,initative20x20,14315734.0,15
barren,168087.65,1.1741462226107302,2011,initative20x20,14315734.0,15
cropland,587558.58,4.104285396752971,2011,initative20x20,14315734.0,15
forest,5440145.619999999,38.00116445304166,2011,initative20x20,14315734.0,15
grassland,2825288.5300000003,19.73554782451253,2011,initative20x20,14315734.0,15
savanna,4357195.820000001,30.43641227197992,2011,initative20x20,14315734.0,15
shrubland,514844.45,3.5963538439593807,2011,initative20x20,14315734.0,15
snow,736.5500000000001,0.005145038319376429,2011,initative20x20,14315734.0,15
urban,65980.58,0.46089554332317156,2011,initative20x20,14315734.0,15
water,260953.19999999995,1.8228419164536023,2011,initative20x20,14315734.0,15
wetland,94943.01,0.6632074191934553,2011,initative20x20,14315734.0,15
barren,165883.37,1.1587486188273686,2012,initative20x20,14315734.0,15
cropland,594208.1799999999,4.150734988509845,2012,initative20x20,14315734.0,15
forest,5419839.219999999,37.85931772691501,2012,initative20x20,14315734.0,15
grassland,2836273.78,19.812283324068467,2012,initative20x20,14315734.0,15
savanna,4363208.039999999,30.47840955971939,2012,initative20x20,14315734.0,15
shrubland,513104.00999999995,3.584196311554825,2012,initative20x20,14315734.0,15
snow,752.5699999999999,0.00525694316477241,2012,initative20x20,14315734.0,15
urban,66080.66,0.4615946342674431,2012,initative20x20,14315734.0,15
water,260472.91999999998,1.8194870063945026,2012,initative20x20,14315734.0,15
wetland,95911.19999999997,0.6699705373123025,2012,initative20x20,14315734.0,15
barren,164173.66,1.1468057453428515,2013,initative20x20,14315734.0,15
cropland,604224.82,4.220704436112042,2013,initative20x20,14315734.0,15
forest,5415751.219999999,37.83076173390759,2013,initative20x20,14315734.0,15
grassland,2852289.8000000003,19.924160367886135,2013,initative20x20,14315734.0,15
savanna,4351837.51,30.398982755617,2013,initative20x20,14315734.0,15
shrubland,504601.6499999999,3.5248045961178094,2013,initative20x20,14315734.0,15
snow,755.85,0.005279855018261725,2013,initative20x20,14315734.0,15
urban,66193.71,0.46238432482749403,2013,initative20x20,14315734.0,15
water,259841.5,1.815076334891386,2013,initative20x20,14315734.0,15
wetland,96064.29000000001,0.6710399201326317,2013,initative20x20,14315734.0,15
barren,161541.61,1.1284200307158543,2014,initative20x20,14315734.0,15
cropland,608062.9199999999,4.247514797355134,2014,initative20x20,14315734.0,15
forest,5414045.769999999,37.81884861789133,2014,initative20x20,14315734.0,15
grassland,2879967.59,20.117498620748332,2014,initative20x20,14315734.0,15
savanna,4327661.81,30.230107726226258,2014,initative20x20,14315734.0,15
shrubland,501079.68000000005,3.5002025044611758,2014,initative20x20,14315734.0,15
snow,746.93,0.005217545953284686,2014,initative20x20,14315734.0,15
urban,66300.90999999999,0.4631331512586081,2014,initative20x20,14315734.0,15
water,259789.59,1.8147137268686326,2014,initative20x20,14315734.0,15
wetland,96537.18999999997,0.6743432785213805,2014,initative20x20,14315734.0,15
barren,160459.81999999998,1.1208633801103036,2015,initative20x20,14315734.0,15
cropland,610573.7999999999,4.265054100614051,2015,initative20x20,14315734.0,15
forest,5410730.25,37.795688645793504,2015,initative20x20,14315734.0,15
grassland,2918931.4899999998,20.389673976898422,2015,initative20x20,14315734.0,15
savanna,4287338.369999999,29.948435546511266,2015,initative20x20,14315734.0,15
shrubland,503083.3400000001,3.5141987131082493,2015,initative20x20,14315734.0,15
snow,732.7900000000001,0.005118773511717947,2015,initative20x20,14315734.0,15
urban,66450.85999999997,0.4641806001704137,2015,initative20x20,14315734.0,15
water,259451.00999999998,1.8123486368215556,2015,initative20x20,14315734.0,15
wetland,97982.26000000001,0.6844375566072967,2015,initative20x20,14315734.0,15
barren,160140.28999999998,1.1186313604318157,2016,initative20x20,14315734.0,15
cropland,617445.82,4.313057367509064,2016,initative20x20,14315734.0,15
forest,5393335.71,37.67418219701484,2016,initative20x20,14315734.0,15
grassland,2958053.879999999,20.662956436603245,2016,initative20x20,14315734.0,15
savanna,4254047.6899999995,29.71588945421869,2016,initative20x20,14315734.0,15
shrubland,506013.1699999999,3.5346645166779425,2016,initative20x20,14315734.0,15
snow,722.27,0.005045287932843681,2016,initative20x20,14315734.0,15
urban,66584.85999999999,0.4651166332093066,2016,initative20x20,14315734.0,15
water,259202.71,1.81061418157113,2016,initative20x20,14315734.0,15
wetland,100187.65,0.6998429140971745,2016,initative20x20,14315734.0,15
barren,149910.99999999997,1.0471764842794646,2017,initative20x20,14315734.0,15
cropland,640472.6099999999,4.473906891536263,2017,initative20x20,14315734.0,15
forest,5408865.43,37.78266227913986,2017,initative20x20,14315734.0,15
grassland,2977174.790000001,20.796522134317392,2017,initative20x20,14315734.0,15
savanna,4194268.33,29.298311424339126,2017,initative20x20,14315734.0,15
shrubland,518173.4599999999,3.6196080480400092,2017,initative20x20,14315734.0,15
snow,774.9100000000001,0.005412995240062438,2017,initative20x20,14315734.0,15
urban,66715.08,0.46602626173411715,2017,initative20x20,14315734.0,15
water,259275.56000000003,1.8111230622195134,2017,initative20x20,14315734.0,15
wetland,100102.81,0.699250279447774,2017,initative20x20,14315734.0,15
barren,150146.94999999998,1.0488246708132465,2018,initative20x20,14315734.0,15
cropland,644137.35,4.49950627749859,2018,initative20x20,14315734.0,15
forest,5392015.759999999,37.664961922315676,2018,initative20x20,14315734.0,15
grassland,2988771.74,20.877530554842664,2018,initative20x20,14315734.0,15
savanna,4192295.9599999995,29.284533786391947,2018,initative20x20,14315734.0,15
shrubland,519170.6,3.626573391207185,2018,initative20x20,14315734.0,15
snow,802.12,0.005603065829527148,2018,initative20x20,14315734.0,15
urban,66888.3,0.46723625906991567,2018,initative20x20,14315734.0,15
water,259117.84,1.810021337362094,2018,initative20x20,14315734.0,15
wetland,102387.38000000002,0.7152087346691411,2018,initative20x20,14315734.0,15
barren,150716.43999999997,1.0528027413753285,2019,initative20x20,14315734.0,15
cropland,643151.84,4.492622173616804,2019,initative20x20,14315734.0,15
forest,5388133.8999999985,37.63784588341749,2019,initative20x20,14315734.0,15
grassland,2972923.790000001,20.7668275339567,2019,initative20x20,14315734.0,15
savanna,4208322.010000001,29.396480892981113,2019,initative20x20,14315734.0,15
shrubland,523927.2200000001,3.659799909665827,2019,initative20x20,14315734.0,15
snow,763.9,0.005336086853807147,2019,initative20x20,14315734.0,15
urban,67113.83,0.46881165855694157,2019,initative20x20,14315734.0,15
water,259249.71000000002,1.810942491666861,2019,initative20x20,14315734.0,15
wetland,101431.35000000002,0.7085305580559126,2019,initative20x20,14315734.0,15
