category,category_km2,platform_category_percent,year,platform,platform_km2,n_countries
snow,9891.89,0.051728178056518526,2008,cities4forests,19122827.0,18
urban,108991.94000000003,0.5699572557969595,2008,cities4forests,19122827.0,18
water,288593.61000000004,1.509157667953593,2008,cities4forests,19122827.0,18
wetland,89730.46,0.4692321904078305,2008,cities4forests,19122827.0,18
barren,399048.12,2.0867632175932984,2009,cities4forests,19122827.0,18
cropland,2855019.21,14.929901368662698,2009,cities4forests,19122827.0,18
forest,5043251.1,26.372936909380606,2009,cities4forests,19122827.0,18
grassland,4552650.6099999985,23.80741409206912,2009,cities4forests,19122827.0,18
savanna,4440372.539999999,23.220272504687717,2009,cities4forests,19122827.0,18
shrubland,1335299.1999999995,6.982749987750239,2009,cities4forests,19122827.0,18
snow,10161.390000000001,0.05313748851045926,2009,cities4forests,19122827.0,18
urban,109254.89,0.571332313993114,2009,cities4forests,19122827.0,18
water,288116.97000000003,1.506665149457243,2009,cities4forests,19122827.0,18
wetland,89653.00999999997,0.46882717706958266,2009,cities4forests,19122827.0,18
barren,390405.13,2.0415659776663775,2010,cities4forests,19122827.0,18
cropland,2875585.14,15.037447862703566,2010,cities4forests,19122827.0,18
forest,5029486.28,26.30095581579021,2010,cities4forests,19122827.0,18
grassland,4562230.2,23.857509143391823,2010,cities4forests,19122827.0,18
savanna,4446066.279999999,23.250047077244382,2010,cities4forests,19122827.0,18
shrubland,1320409.1400000001,6.904884617739835,2010,cities4forests,19122827.0,18
snow,10335.470000000001,0.0540478141647153,2010,cities4forests,19122827.0,18
urban,109527.18000000002,0.5727562143400661,2010,cities4forests,19122827.0,18
water,287883.4200000001,1.5054438342197003,2010,cities4forests,19122827.0,18
wetland,90898.80000000002,0.47534185191342276,2010,cities4forests,19122827.0,18
barren,381229.96,1.9935857810144915,2011,cities4forests,19122827.0,18
cropland,2874228.8600000003,15.03035539672037,2011,cities4forests,19122827.0,18
forest,5011432.06,26.206543938299497,2011,cities4forests,19122827.0,18
grassland,4570612.670000001,23.901344032448762,2011,cities4forests,19122827.0,18
savanna,4466158.470000001,23.35511621791067,2011,cities4forests,19122827.0,18
shrubland,1315198.47,6.877636188415029,2011,cities4forests,19122827.0,18
snow,10435.32,0.05456996499523841,2011,cities4forests,19122827.0,18
urban,109953.89000000001,0.5749876312743927,2011,cities4forests,19122827.0,18
water,290763.19999999995,1.5205032184833338,2011,cities4forests,19122827.0,18
wetland,92814.06999999998,0.4853574735576491,2011,cities4forests,19122827.0,18
barren,377466.26,1.9739040676360249,2012,cities4forests,19122827.0,18
cropland,2879248.23,15.056603450943735,2012,cities4forests,19122827.0,18
forest,4991300.689999999,26.10126991160877,2012,cities4forests,19122827.0,18
grassland,4586829.57,23.986147916309655,2012,cities4forests,19122827.0,18
savanna,4470749.3100000005,23.37912333777846,2012,cities4forests,19122827.0,18
shrubland,1311905.9699999997,6.8604185458562155,2012,cities4forests,19122827.0,18
snow,10661.659999999998,0.055753576602455265,2012,cities4forests,19122827.0,18
urban,110284.46999999999,0.5767163505688776,2012,cities4forests,19122827.0,18
water,290404.0600000001,1.5186251488861982,2012,cities4forests,19122827.0,18
wetland,93976.82,0.49143790298369594,2012,cities4forests,19122827.0,18
barren,374431.54999999993,1.958034499815325,2013,cities4forests,19122827.0,18
cropland,2890988.3100000005,15.117996465689934,2013,cities4forests,19122827.0,18
forest,4991164.58,26.10055814446264,2013,cities4forests,19122827.0,18
grassland,4609320.489999999,24.103760861299424,2013,cities4forests,19122827.0,18
savanna,4455150.62,23.2975522918238,2013,cities4forests,19122827.0,18
shrubland,1296915.45,6.782027835110363,2013,cities4forests,19122827.0,18
snow,10210.220000000001,0.05339283778491539,2013,cities4forests,19122827.0,18
urban,110610.53999999998,0.5784214854843375,2013,cities4forests,19122827.0,18
water,289247.16000000003,1.5125753111713036,2013,cities4forests,19122827.0,18
wetland,94788.10000000002,0.49568037194500597,2013,cities4forests,19122827.0,18
barren,372180.97000000003,1.9462654240400754,2014,cities4forests,19122827.0,18
cropland,2891449.85,15.120410020966043,2014,cities4forests,19122827.0,18
forest,4988081.650000001,26.08443641727241,2014,cities4forests,19122827.0,18
grassland,4637924.510000001,24.253341360040544,2014,cities4forests,19122827.0,18
savanna,4429259.02,23.162155992939745,2014,cities4forests,19122827.0,18
shrubland,1298702.0599999996,6.791370648283329,2014,cities4forests,19122827.0,18
snow,10408.529999999999,0.05442987064621773,2014,cities4forests,19122827.0,18
urban,110973.62999999998,0.5803202110231922,2014,cities4forests,19122827.0,18
water,288925.43,1.5108928716449719,2014,cities4forests,19122827.0,18
wetland,94921.31999999999,0.4963770262629056,2014,cities4forests,19122827.0,18
barren,370842.68000000005,1.9392670341053655,2015,cities4forests,19122827.0,18
cropland,2889078.5999999996,15.108009919244678,2015,cities4forests,19122827.0,18
forest,4981568.9,26.050378952860893,2015,cities4forests,19122827.0,18
grassland,4673928.380000001,24.441618281648424,2015,cities4forests,19122827.0,18
savanna,4389974.79,22.95672491311039,2015,cities4forests,19122827.0,18
shrubland,1310911.7700000003,6.8552195237660225,2015,cities4forests,19122827.0,18
snow,10516.33,0.054993594827794035,2015,cities4forests,19122827.0,18
urban,111385.31000000001,0.5824730307919431,2015,cities4forests,19122827.0,18
water,287943.67000000004,1.5057589026978073,2015,cities4forests,19122827.0,18
wetland,96676.55999999998,0.5055557946531649,2015,cities4forests,19122827.0,18
barren,371739.06000000006,1.9439545209502762,2016,cities4forests,19122827.0,18
cropland,2895502.72,15.141603906158855,2016,cities4forests,19122827.0,18
