country,country_clean,area_miles2,area_km2,tota_area_rank,source
Senegal,Senegal,75951,196712,88,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Serbia,Serbia,29957,77589,118,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Seychelles,Seychelles,175,452,197,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Sierra Leone,Sierra Leone,27699,71740,120,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Singapore,Singapore,279,722.5,189,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Sint Maarten,Sint Maarten,13,34,218,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Slovakia,Slovakia,18932,49034,130,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Slovenia,Slovenia,7827,20273,154,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Solomon Islands,Solomon Islands,11740,30407,144,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Somalia,Somalia,246201,637657,43,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
South Africa,South Africa,471359,1220813,25,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
South Sudan,South Sudan,248777,644329,42,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Spain,Spain,195346,505944,52,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Sri Lanka,Sri Lanka,25332,65610,123,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Sudan,Sudan (the),712280,1844797,16,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Suriname,Suriname,63251,163820,92,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Sweden,Sweden,172750,447420,56,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Switzerland,Switzerland,15940,41285,135,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Syria,Syria,71498,185180,89,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Taiwan,Taiwan,13976,36197,137,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Tajikistan,Tajikistan,55058,142600,96,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Tanzania,"Tanzania, United Republic of",365756,947303,31,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
Thailand,Thailand,198117,513120,51,https://www.britannica.com/topic/list-of-the-total-areas-of-the-worlds-countries-dependencies-and-territories-2130540
